voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-2.5,44.905,44.282,43.742,0.475195632,44.30966667,n,44.30966667,0.4751956,voltage precision ,0.0001
-2.25,41.159,41.352,41.116,0.102628781,41.209,,41.209,0.1026288,,
-2,38.785,38.665,38.449,0.139025178,38.633,,38.633,0.1390252,,
-1.75,35.827,35.123,35.225,0.310630899,35.39166667,,35.39166667,0.3106309,,
-1.5,31.816,31.491,31.747,0.139810189,31.68466667,,31.68466667,0.1398102,,
-1.25,27.247,27.333,27.237,0.043091634,27.27233333,,27.27233333,0.0430916,,
-1,22.907,23.116,23.056,0.087864795,23.02633333,,23.02633333,0.0878648,,
-0.75,18.241,18.327,18.287,0.035137824,18.285,,18.285,0.0351378,,
-0.5,14.039,14.033,13.932,0.049087224,14.00133333,,14.00133333,0.0490872,,
-0.25,9.6142,9.7183,9.7343,0.053246617,9.688933333,,9.688933333,0.0532466,,
0,6.2857,6.2,6.2194,0.036691719,6.235033333,,6.235033333,0.0366917,,
0.25,3.116,3.1026,3.1449,0.017651125,3.121166667,,3.121166667,0.0176511,,
0.5,1.0429,1.0286,1.0397,0.006127715,1.037066667,,1.037066667,0.0061277,,
0.75,0.12018,0.12095,0.11777,0.001354556,0.119633333,,0.119633333,0.0013546,,
1,0.03702,0.07343,0.03723,0.017114556,0.049226667,-1,-0.049226667,0.0171146,,
1.25,0.04012,0.04002,0.04012,4.71405E-05,0.040086667,,-0.040086667,0.0000471,,
1.5,0.04189,0.04112,0.04133,0.000324996,0.041446667,,-0.041446667,0.0003250,,
1.75,0.04156,0.04137,0.04147,7.7603E-05,0.041466667,,-0.041466667,0.0000776,,
2,0.04177,0.04188,0.0427,0.000414916,0.042116667,,-0.042116667,0.0004149,,
2.25,0.04204,0.04204,0.04227,0.000108423,0.042116667,,-0.042116667,0.0001084,,
2.5,0.0423,0.04257,0.0437,0.000606429,0.042856667,,-0.042856667,0.0006064,,
