voltage applied,current (A),,,current err,mean current,units,final mean,final erro,,1000
-2.5,0.13119,0.13275,0.13299,0.000797997,0.13231,u,132.31,0.797997494,voltage precision ,0.0001
-2.25,0.12217,0.12279,0.12246,0.000253289,0.122473333,,122.4733333,0.25328947,,
-2,0.11337,0.11216,0.11307,0.000514479,0.112866667,,112.8666667,0.51447924,,
-1.75,0.10246,0.10329,0.10312,0.000357988,0.102956667,,102.9566667,0.357988206,,
-1.5,89.662,88.825,90.168,0.553800405,89.55166667,n,89.55166667,0.553800405,,
-1.25,78.002,79.622,79.791,0.806465677,79.13833333,,79.13833333,0.806465677,,
-1,65.55,65.645,66.103,0.241430459,65.766,,65.766,0.241430459,,
-0.75,52.17,53.377,52.149,0.573999032,52.56533333,,52.56533333,0.573999032,,
-0.5,40.24,40.519,40.642,0.168184423,40.467,,40.467,0.168184423,,
-0.25,29.497,29,29.234,0.203014504,29.24366667,,29.24366667,0.203014504,,
0,18.448,18.514,18.734,0.122271101,18.56533333,,18.56533333,0.122271101,,
0.25,9.2664,9.2245,9.2123,0.023169089,9.2344,,9.2344,0.023169089,,
0.5,3.0997,3.0876,3.0369,0.027204452,3.074733333,,3.074733333,0.027204452,,
0.75,0.35151,0.3558,0.35665,0.002249597,0.354653333,,0.354653333,0.002249597,,
1,0.11205,0.11223,0.11312,0.000467784,0.112466667,-1,-0.112466667,0.000467784,,
1.25,0.12131,0.12095,0.12151,0.000231709,0.121256667,,-0.121256667,0.000231709,,
1.5,0.12343,0.1241,0.12377,0.000273537,0.123766667,,-0.123766667,0.000273537,,
1.75,0.12533,0.12555,0.12677,0.000633368,0.125883333,,-0.125883333,0.000633368,,
2,0.12817,0.12634,0.12781,0.000791581,0.12744,,-0.12744,0.000791581,,
2.25,0.12729,0.12753,0.12753,0.000113137,0.12745,,-0.12745,0.000113137,,
2.5,0.12887,0.12884,0.12792,0.000440933,0.128543333,,-0.128543333,0.000440933,,
